"","sim","N","effect1v2","effect2v3","effect1v3","stdev","dlow1v2","dhigh1v2","dlow1v3","dhigh1v3","dlow2v3","dhigh2v3","mdiff1v2","mdiff1v3","mdiff2v3","m1","m2","m3","mlow1v2","mhigh1v2","mlow1v3","mhigh1v3","mlow2v3","mhigh2v3","omniP","p1v2","p2v3","p1v3","quadeP","quadeP1v2","quadeP2v3","quadeP1v3","overallBF","BF1v2","BF1v3","BF2v3","oompcc","oomchance"
"1",1,10,0.224300153825652,-0.0531160673847383,0.0325587265011716,11.5,-0.409815937560157,0.846479591229192,-0.588303124653618,0.651641249842214,-0.671932479218544,0.568600337375796,0.3,0.1,-0.2,3.5,3.2,3.4,-0.65678521896161,1.25678521896161,-2.09712802939305,2.29712802939305,-2.89356125629213,2.49356125629212,0.946532456297392,1,1,1,0.932353640531648,1,1,1,0.219710043170101,0.381506358993594,0.31024664915968,0.312611171419547,0.533333333333333,0.765
"2",2,10,0.340438322155965,-0.925820099772551,-0.386500602909469,11.5,-0.307187078698856,0.970558661536584,-1.02101192924165,0.26754674034063,-1.65805814381459,-0.159255609207415,0.9,-1.1,-2,3.4,2.5,4.5,-0.99115376699173,2.79115376699173,-3.13594144651838,0.935941446518384,-3.54534753813707,-0.454652461862929,0.072475829760109,0.929059934371248,0.0504594108967753,0.757999774123214,0.0666561305377599,1,0.0681148211987214,0.426093722562613,1.63975626118183,0.494231494422149,0.560394631430078,4.0987463116501,0.533333333333333,0.695
"3",3,10,-0.185262068158339,-0.114208048144032,-0.263117405792109,11.5,-0.805795533471271,0.445215207812947,-0.887446458472524,0.375074309702702,-0.733078931475624,0.51086368933452,-0.6,-1,-0.4,3.4,4,4.4,-2.91679451627173,1.71679451627173,-3.71877454787569,1.71877454787569,-2.90545182268942,2.10545182268942,0.670589338977653,1,1,1,0.689589010726666,1,1,1,0.301141969086178,0.357179562641704,0.411842977649071,0.32659720850926,0.5,0.875
"4",4,10,-0.239680638581088,0.0321818766943745,-0.140180794054799,11.5,-0.862650788122747,0.395996369626666,-0.75945968754146,0.486681930273374,-0.588665612148731,0.651270609056313,-0.6,-0.5,0.1,3.1,3.7,3.6,-2.3907752003806,1.1907752003806,-3.05155105517172,2.05155105517172,-2.12285640071361,2.32285640071361,0.807441143562313,1,1,1,0.579727369419879,0.968580263661377,1,1,0.260795397824946,0.392748414397651,0.335878479348826,0.31021398744975,0.466666666666667,0.977
"5",5,10,-0.0702567763651914,0.198293692157654,0.129768705163906,11.5,-0.68896056087361,0.552278418452815,-0.496350217592549,0.748856405449305,-0.433346336683245,0.819318936511905,-0.3,0.3,0.6,3.5,3.8,3.2,-3.35461028663886,2.75461028663886,-1.35376599481467,1.95376599481467,-1.5645375549372,2.7645375549372,0.849187103725518,1,1,1,0.886351670806754,1,1,1,0.244605021203868,0.315467680950976,0.331906790298889,0.364658264042501,0.6,0.271
"6",6,10,0.0740797197487192,-0.805374713364953,-0.560315525728221,11.5,-0.54865120584829,0.692771970838501,-1.21746264087165,0.122964916330401,-1.5092106272458,-0.0691119586748883,0.2,-1.5,-1.7,2.6,2.4,4.1,-1.73131644773273,2.13131644773273,-3.41505555296083,0.41505555296083,-3.20998872943141,-0.190011270568592,0.0915080354347914,1,0.0940740143276124,0.330541364240485,0.141467077689363,1,0.285128307605614,0.240268970014978,1.35297897107017,0.316216177902129,0.984418067559145,2.51860173445725,0.5,0.86
"7",7,10,-0.311977199536613,0.161280999171141,-0.159787092387392,11.5,-0.939733753765581,0.331976019369019,-0.779526412368442,0.468569350246777,-0.467194218818228,0.781060779259946,-0.9,-0.4,0.5,2.2,3.1,2.6,-2.96368034692882,1.16368034692882,-2.1907752003806,1.3907752003806,-1.717734604966,2.717734604966,0.612308593494383,1,1,1,0.692948266130921,1,1,1,0.309282178617362,0.460122856485592,0.344301849766538,0.3449955970396,0.466666666666667,0.932
"8",8,10,0.11766968108291,-0.520245679576088,-0.376144541575716,11.5,-0.507628315553242,0.7365816582431,-1.009608232545,0.276408211782181,-1.17135079516476,0.155628385650171,0.5,-1.2,-1.7,3.3,2.8,4.5,-2.53968235227315,3.53968235227315,-3.48217664297011,1.08217664297011,-4.03756240155814,0.637562401558145,0.33081759678123,1,0.403038296815702,0.794058868015909,0.478414423313251,1,0.845886716635923,0.944543056803749,0.531985864367667,0.327714562703166,0.544234589640216,0.8555314803027,0.5,0.904
"9",9,10,-0.300185356829547,0.0620173672946042,-0.296688307986359,11.5,-0.927041497676354,0.342314016529682,-0.923286347603716,0.345387597099774,-0.560112222589878,0.680762870563109,-0.9,-0.7,0.2,2.6,3.5,3.3,-3.04474557377952,1.24474557377952,-2.38779766745136,0.987797667451355,-2.10695670318435,2.50695670318435,0.593601724306494,1,1,1,0.715933349791202,1,1,1,0.31255798853826,0.447342642684682,0.443696328817951,0.313993124810539,0.466666666666667,0.967
"10",10,10,-0.120971675781827,-0.0455382555539187,-0.156433049876475,11.5,-0.739926658077663,0.504545722364849,-0.776084304909275,0.471659276572768,-0.664436155111072,0.575846923535659,-0.4,-0.6,-0.2,3.4,3.8,4,-2.76536991439489,1.96536991439489,-3.34375615588472,2.14375615588472,-3.3417844064038,2.9417844064038,0.883579460486511,1,1,1,0.981473841003606,1,1,1,0.246840049616266,0.328814208292883,0.342771444316243,0.311605907147264,0.5,0.909
