"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,0.338983050847458,0.280898876404494,0.322061191626409,0.293255131964809
"2","Large",30,0,0,0,0
"3","Large",100,0,0,0,0
"4","Large",500,0,0,0,0
"5","Large",1000,0,0,0,0
"6","Medium",10,58.7301587301587,23.7485448195576,32.2635135135135,23.7268518518519
"7","Medium",30,0,0,0,0
"8","Medium",100,0,0,0,0
"9","Medium",500,0,0,0,0
"10","Medium",1000,0,0,0,0
"11","Small",10,98.7323943661972,76.2004175365344,82.7428571428571,77.40232312566
"12","Small",30,87.219730941704,48.2285714285714,59.4555873925501,47.3981900452489
"13","Small",100,96,3.57675111773472,3.86473429951691,3.65296803652968
"14","Small",500,0,0,0,0
"15","Small",1000,0,0,0,0
"16","None",10,99.4026284348865,88.8314374353671,89.4681960375391,88.6153846153846
"17","None",30,99.1836734693878,80.5672268907563,86.281179138322,80
"18","None",100,100,58.6786114221725,72.6256983240224,59.1422121896163
"19","None",500,100,1.5625,1.45867098865478,1.45395799676898
"20","None",1000,0,0,0,0
