"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,0.345423143350604,0.338983050847458,0.561797752808989,0.340136054421769
"2","Large",30,0,0,0,0
"3","Large",100,0,0,0,0
"4","Large",500,0,0,0,0
"5","Large",1000,0,0,0,0
"6","Medium",10,58.3333333333333,25.5959849435383,45.6359102244389,26.2148337595908
"7","Medium",30,0,0,0,0
"8","Medium",100,0,0,0,0
"9","Medium",500,0,0,0,0
"10","Medium",1000,0,0,0,0
"11","Small",10,98.8321167883212,77.2678762006403,87.2572815533981,79.4788273615635
"12","Small",30,88.3374689826303,49.7624703087886,65.6351791530945,49.290780141844
"13","Small",100,95,3.88349514563107,3.29861111111111,3.95387149917628
"14","Small",500,0,0,0,0
"15","Small",1000,0,0,0,0
"16","None",10,99.5043370508054,90.4862579281184,91.5145005370569,89.8216159496327
"17","None",30,99.5732574679943,81.8181818181818,88.7839433293979,81.0782241014799
"18","None",100,100,59.7014925373134,76.3358778625954,60.486674391657
"19","None",500,100,1.70777988614801,1.17845117845118,1.60142348754448
"20","None",1000,0,0,0,0
