"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,99.6677740863787,98.1996726677578,99.3736951983299,98.1937602627258
"2","Large",30,100,100,100,100
"3","Large",100,100,100,100,100
"4","Large",500,100,100,100,100
"5","Large",1000,100,100,100,100
"6","Medium",10,47.8260869565217,62.6974483596598,59.6261682242991,61.509900990099
"7","Medium",30,100,99.5689655172414,99.8569384835479,99.3893129770992
"8","Medium",100,100,100,100,100
"9","Medium",500,100,100,100,100
"10","Medium",1000,100,100,100,100
"11","Small",10,1.74165457184325,12.6193001060445,8.15850815850816,11.9870410367171
"12","Small",30,17.2093023255814,39.5927601809955,35.5153203342618,40.1345291479821
"13","Small",100,5,92.4822695035461,96.2574850299401,92.3512747875354
"14","Small",500,0,100,100,100
"15","Small",1000,0,100,100,100
"16","None",10,0.864197530864197,4.41640378548896,4.46333687566419,4.7071129707113
"17","None",30,2.0979020979021,10.5485232067511,8.62656072644722,11.1574556830031
"18","None",100,0,30.9655937846837,26.7643142476698,31.6964285714286
"19","None",500,0,97.2929936305732,98.7897125567322,97.4474474474474
"20","None",1000,0,100,100,100
